Date,Open,High,Low,Close,Adj Close,Volume,3MA,5MA
2011.11.7,6.328,6.4,6.15,6.254,6.254,6331500,6.402666667,6.1452
2011.11.8,6.274,6.4,6.144,6.368,6.368,5839500,6.361333333,6.2636
2011.11.9,6.174,6.298,6.06,6.176,6.176,4768500,6.266,6.3504
2011.11.10,6.188,6.3,6.13,6.266,6.266,3736500,6.27,6.3052
2011.11.11,6.38,6.9,6.114,6.728,6.728,19341500,6.39,6.3584
2011.11.14,6.6,6.708,6.524,6.644,6.644,6628500,6.546,6.4364
2011.11.15,6.584,6.88,6.546,6.786,6.786,4455000,6.719333333,6.52
2011.11.16,6.696,7,6.68,6.988,6.988,9166000,6.806,6.6824
2011.11.17,6.9,6.98,6.638,6.736,6.736,6746500,6.836666667,6.7764
2011.11.18,6.728,6.822,6.508,6.52,6.52,4514000,6.748,6.7348
2011.11.21,6.488,6.488,6.21,6.352,6.352,5158000,6.536,6.6764
2011.11.22,6.352,6.558,6.21,6.414,6.414,3663000,6.428666667,6.602
2011.11.23,6.352,6.41,6.25,6.29,6.29,2259000,6.352,6.4624
2011.11.25,6.31,6.482,6.216,6.332,6.332,1198000,6.345333333,6.3816
2011.11.28,6.4,6.656,6.362,6.512,6.512,3406000,6.378,6.38
2011.11.29,6.498,6.614,6.326,6.35,6.35,2955500,6.398,6.3796
2011.11.30,6.5,6.586,6.444,6.548,6.548,3801500,6.47,6.4064
2011.12.1,6.514,6.798,6.396,6.52,6.52,5151000,6.472666667,6.4524
2011.12.2,6.566,6.738,6.48,6.66,6.66,4014000,6.576,6.518
2011.12.5,6.706,7,6.686,6.884,6.884,5800500,6.688,6.5924
2011.12.6,6.84,6.996,6.806,6.974,6.974,4759000,6.839333333,6.7172
2011.12.7,6.926,6.978,6.76,6.838,6.838,3371500,6.898666667,6.7752
2011.12.8,6.168,6.33,5.922,6.178,6.178,16529000,6.663333333,6.7068
2011.12.9,6.108,6.224,6.056,6.208,6.208,6197500,6.408,6.6164
2011.12.12,6.088,6.124,6.004,6.082,6.082,3793500,6.156,6.456
2011.12.13,6.114,6.186,5.782,5.89,5.89,4970500,6.06,6.2392
2011.12.14,5.9,5.936,5.6,5.706,5.706,5819500,5.892666667,6.0128
2011.12.15,5.734,5.834,5.624,5.724,5.724,3501500,5.773333333,5.922
2011.12.16,5.758,5.786,5.596,5.6,5.6,5148500,5.676666667,5.8004
2011.12.19,5.618,5.7,5.474,5.55,5.55,4935000,5.624666667,5.694
2011.12.20,5.61,5.69,5.544,5.58,5.58,4216500,5.576666667,5.632
2011.12.21,5.582,5.614,5.206,5.514,5.514,8527500,5.548,5.5936
2011.12.22,5.52,5.61,5.46,5.554,5.554,5047000,5.549333333,5.5596
2011.12.23,5.6,5.6,5.504,5.58,5.58,2957000,5.549333333,5.5556
2011.12.27,5.532,5.754,5.528,5.714,5.714,3887500,5.616,5.5884
2011.12.28,5.798,5.848,5.608,5.702,5.702,2876000,5.665333333,5.6128
2011.12.29,5.718,5.868,5.71,5.746,5.746,2441000,5.720666667,5.6592
2011.12.30,5.698,5.796,5.65,5.712,5.712,1699000,5.72,5.6908
2012.1.3,5.788,5.9,5.53,5.616,5.616,4640500,5.691333333,5.698
2012.1.4,5.642,5.734,5.5,5.542,5.542,3150500,5.623333333,5.6636
2012.1.5,5.552,5.586,5.37,5.424,5.424,5027500,5.527333333,5.608
2012.1.6,5.44,5.558,5.282,5.382,5.382,4931500,5.449333333,5.5352
2012.1.9,5.4,5.498,5.224,5.45,5.45,4485000,5.418666667,5.4828
2012.1.10,5.488,5.552,5.45,5.524,5.524,3359000,5.452,5.4644
2012.1.11,5.524,5.676,5.46,5.646,5.646,3361500,5.54,5.4852
2012.1.12,5.696,5.724,5.562,5.65,5.65,3646500,5.606666667,5.5304
2012.1.13,5.68,5.7,4.528,4.558,4.558,27502000,5.284666667,5.3656
2012.1.17,5.324,5.468,5.282,5.32,5.32,23258000,5.176,5.3396
