Date,Open,High,Low,Close,Adj Close,Volume,3MA,5MA
2002.9.23,6560,6600,6370,6430,4988.374512,44800000,6610,6666
2002.9.24,6260,6380,6220,6380,4949.585449,44650000,6503.333333,6574
2002.9.25,6260,6340,6080,6140,4763.393066,42295000,6316.666667,6470
2002.9.26,6320,6370,6180,6280,4872.006348,42535000,6266.666667,6386
2002.9.27,6160,6320,6140,6190,4802.18457,30845000,6203.333333,6284
2002.9.30,5990,6000,5880,5970,4631.508301,40780000,6146.666667,6192
2002.10.1,5820,5990,5820,5950,4615.993164,34580000,6036.666667,6106
2002.10.2,6140,6160,5960,5990,4647.025879,36470000,5970,6076
2002.10.3,5990,5990,5990,5990,4647.025879,0,5976.666667,6018
2002.10.4,5840,6150,5840,6120,4747.876465,34510000,6033.333333,6004
2002.10.7,6060,6080,5920,5920,4592.718262,22180000,6010,5994
2002.10.8,5890,6000,5890,6000,4654.78125,29610000,6013.333333,6004
2002.10.9,6040,6040,5920,5950,4615.993164,27245000,5956.666667,5996
2002.10.10,5810,5870,5450,5470,4243.609375,72530000,5806.666667,5892
2002.10.11,5670,5670,5310,5470,4243.609375,67420000,5630,5762
2002.10.14,5700,5810,5660,5760,4468.59082,48320000,5566.666667,5730
2002.10.15,5860,6050,5750,6000,4654.78125,45910000,5743.333333,5730
2002.10.16,6100,6140,5950,6100,4732.361816,52820000,5953.333333,5760
2002.10.17,6060,6220,5930,6150,4771.152344,58125000,6083.333333,5896
2002.10.18,6400,6610,6320,6530,5065.955078,90720000,6260,6108
2002.10.21,6500,6630,6420,6480,5027.165039,32510000,6386.666667,6252
2002.10.22,6630,6640,6260,6390,4957.344238,40335000,6466.666667,6330
2002.10.23,6410,6560,6270,6560,5089.22998,46750000,6476.666667,6422
2002.10.24,6650,6760,6640,6680,5182.325684,50295000,6543.333333,6528
2002.10.25,6610,6840,6610,6800,5275.42041,45285000,6680,6582
2002.10.28,6960,7260,6950,7220,5601.255859,57720000,6900,6730
2002.10.29,7190,7260,7060,7060,5477.128418,45245000,7026.666667,6864
2002.10.30,6940,6980,6640,6760,5244.388672,63295000,7013.333333,6904
2002.10.31,6900,6960,6750,6900,5352.999023,41280000,6906.666667,6948
2002.11.1,6860,6920,6770,6820,5290.937012,27225000,6826.666667,6952
2002.11.4,7080,7370,7030,7350,5702.108398,68795000,7023.333333,6978
2002.11.5,7390,7400,7140,7230,5609.013184,46110000,7133.333333,7012
2002.11.6,7360,7370,7230,7310,5671.075195,32750000,7296.666667,7122
2002.11.7,7310,7380,7180,7330,5686.593262,41545000,7290,7208
2002.11.8,7120,7190,7040,7190,5577.982422,36000000,7276.666667,7282
2002.11.11,7120,7120,6900,6980,5415.0625,27855000,7166.666667,7208
2002.11.12,6790,6950,6770,6930,5376.274414,33100000,7033.333333,7148
2002.11.13,6990,7020,6890,6980,5415.0625,38210000,6963.333333,7082
2002.11.14,6900,6980,6780,6800,5275.42041,31635000,6903.333333,6976
2002.11.15,7020,7160,6990,7160,5554.70752,41990000,6980,6970
2002.11.18,7160,7170,6990,7020,5446.09668,28460000,6993.333333,6978
2002.11.19,6920,7050,6920,7050,5469.371094,20825000,7076.666667,7002
2002.11.20,7060,7210,6990,7200,5585.740234,40270000,7090,7046
2002.11.21,7420,7470,7360,7380,5725.383301,55060000,7210,7162
2002.11.22,7560,7600,7460,7460,5787.445801,48550000,7346.666667,7222
2002.11.25,7500,7600,7460,7570,5872.783203,32420000,7470,7332
2002.11.26,7590,7640,7490,7570,5872.783203,39225000,7533.333333,7436
2002.11.27,7440,7600,7440,7600,5896.058105,23900000,7580,7516
2002.11.28,7740,7850,7660,7700,5973.637695,38735000,7623.333333,7580
2002.11.29,7710,7760,7650,7740,6004.668945,28085000,7680,7636
2002.12.2,7740,7740,7740,7740,6004.668945,0,7726.666667,7670
2002.12.3,7760,7900,7700,7860,6097.765137,37660000,7780,7728
2002.12.4,7720,7750,7470,7470,5795.20459,42435000,7690,7702
2002.12.5,7380,7500,7270,7470,5795.20459,46550000,7600,7656
2002.12.6,7400,7480,7330,7440,5771.931641,27790000,7460,7596
2002.12.9,7460,7480,7300,7450,5779.689453,39300000,7453.333333,7538
2002.12.10,7280,7320,7240,7290,5655.560059,31780000,7393.333333,7424
2002.12.11,7340,7350,7210,7320,5678.836426,35140000,7353.333333,7394
2002.12.12,7310,7360,7310,7360,5709.867188,57605000,7323.333333,7372
2002.12.13,7300,7330,7180,7240,5616.771973,31630000,7306.666667,7332
2002.12.16,7060,7120,6960,6970,5407.305176,50650000,7190,7236
2002.12.17,7100,7140,7040,7070,5484.88623,45230000,7093.333333,7192
2002.12.18,6940,7200,6900,7150,5546.949707,31875000,7063.333333,7158
2002.12.19,7150,7150,7150,7150,5546.949707,0,7123.333333,7116
2002.12.20,7120,7200,7010,7160,5554.70752,30960000,7153.333333,7100
2002.12.23,7160,7180,6940,6960,5399.548828,25675000,7090,7098
2002.12.24,6900,6980,6830,6850,5314.209961,24370000,6990,7054
2002.12.25,6850,6850,6850,6850,5314.209961,0,6886.666667,6994
2002.12.26,6850,6880,6740,6790,5267.663574,26020000,6830,6922
2002.12.27,6700,6870,6680,6720,5213.356934,23135000,6786.666667,6834
2002.12.30,6610,6700,6260,6280,4872.006348,49905000,6596.666667,6698
2002.12.31,6280,6280,6280,6280,4872.006348,0,6426.666667,6584
2003.1.1,6280,6280,6280,6280,4872.006348,0,6280,6470
2003.1.2,6380,6460,6300,6430,4988.374512,25580000,6330,6398
2003.1.3,6700,7000,6640,6880,5337.481934,55530000,6530,6430
2003.1.6,6940,7030,6880,6990,5422.821777,24970000,6766.666667,6572
2003.1.7,7180,7180,6840,6850,5314.209961,28895000,6906.666667,6686
2003.1.8,6920,6930,6770,6800,5275.42041,25210000,6880,6790
2003.1.9,6620,6660,6420,6460,5011.648438,75290000,6703.333333,6796
2003.1.10,6600,6650,6340,6480,5027.165039,62640000,6580,6716
2003.1.13,6400,6690,6370,6690,5190.083008,31445000,6543.333333,6656
2003.1.14,6600,6650,6500,6570,5096.986328,26320000,6580,6600
2003.1.15,6600,6670,6440,6480,5027.165039,32735000,6580,6536
2003.1.16,6400,6600,6320,6600,5120.259766,40380000,6550,6564
2003.1.17,6550,6570,6410,6410,4972.859863,24405000,6496.666667,6550
2003.1.20,6240,6420,6240,6400,4965.101563,18610000,6470,6492
2003.1.21,6360,6400,6290,6380,4949.585449,26675000,6396.666667,6454
2003.1.22,6290,6370,6180,6230,4833.215332,32670000,6336.666667,6404
2003.1.23,6230,6370,6150,6320,4903.037109,36700000,6310,6348
2003.1.24,6320,6340,6130,6260,4856.491211,33445000,6270,6318
2003.1.27,6020,6100,5970,5980,4639.266602,46465000,6186.666667,6234
2003.1.28,5980,6140,5980,6140,4763.393066,26430000,6126.666667,6186
2003.1.29,6070,6130,5800,5830,4522.897461,46520000,5983.333333,6106
